更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-rcs-peripheral-plugin\config\locale\en-US.js: 
>>>>menu.device 的更新记录：Device Management  ---> Device Management 
>>>>rcsPeripheral.interactiveDeviceView.operationDirection 的更新记录：Operation Direction  ---> Operation Direction 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.deviceCode 的更新记录：Maximum length cannot exceed 30 digits  ---> Maximum length cannot exceed 30 digits 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.deviceName 的更新记录：Maximum length cannot exceed 60 digits  ---> Maximum length cannot exceed 60 digits 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.communicationType 的更新记录：Maximum length cannot exceed 20 digits  ---> Maximum length cannot exceed 20 digits 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.ip 的更新记录：Maximum length cannot exceed 100 digits  ---> Maximum length cannot exceed 100 digits 
>>>>rcsPeripheral.interactiveDeviceView.return 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.interactiveDeviceView.submit 的更新记录：Next Step  ---> Next Step 
>>>>rcsPeripheral.interactiveDeviceView.floorSet 的更新记录：Floor Setting  ---> Floor Setting 
>>>>rcsPeripheral.interactiveDeviceView.deviceJumpSetting 的更新记录：Device Jump Setting  ---> Device Jump Setting 
>>>>rcsPeripheral.interactiveDeviceView.floor 的更新记录：Floor  ---> Floor 
>>>>rcsPeripheral.interactiveDeviceView.floorDescription 的更新记录：Floor Description  ---> Floor Description 
>>>>rcsPeripheral.interactiveDeviceView.upToTheReservoir 的更新记录：Up To The Reservoir  ---> Up To The Reservoir 
>>>>rcsPeripheral.interactiveDeviceView.exit 的更新记录：Exit  ---> Exit 
>>>>rcsPeripheral.interactiveDeviceView.entrance 的更新记录：Entrance  ---> Entrance 
>>>>rcsPeripheral.interactiveDeviceView.entryInteractionLocation 的更新记录：Entry Interaction Location  ---> Entry Interaction Location 
>>>>rcsPeripheral.interactiveDeviceView.exitInteractionLocation 的更新记录：Exit Interaction Location  ---> Exit Interaction Location 
>>>>rcsPeripheral.interactiveDeviceView.equipmentLocation 的更新记录：Equipment Location  ---> Equipment Location 
>>>>rcsPeripheral.interactiveDeviceView.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.interactiveDeviceView.initialLayer 的更新记录：Initial Layer  ---> Initial Layer 
>>>>rcsPeripheral.interactiveDeviceView.targetLayer 的更新记录：Target Layer  ---> Target Layer 
>>>>rcsPeripheral.interactiveDeviceView.initialLocation 的更新记录：Initial Location  ---> Initial Location 
>>>>rcsPeripheral.interactiveDeviceView.targetLocation 的更新记录：Target Location  ---> Target Location 
>>>>rcsPeripheral.interactiveDeviceView.interfaceType 的更新记录：Interface Type  ---> Interface Type 
>>>>rcsPeripheral.interactiveDeviceView.startingPoint 的更新记录：Start Interactive Instruction Set  ---> Start Interactive Instruction Set 
