更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-map-editor-plugin\config\locale\en-US.js: 
>>>>mapEditor.menu 的更新记录：Map Editor  ---> Map Editor 
>>>>mapEditor.mapEditorEdit.baseInfo 的更新记录：Basic Information  ---> Basic Information 
>>>>mapEditor.mapEditorEdit.rule.no 的更新记录：Rule Number  ---> Rule Number 
>>>>mapEditor.mapEditorEdit.status 的更新记录：Status Of Use  ---> Status Of Use 
>>>>mapEditor.mapEditorEdit.status.close 的更新记录：Close  ---> Close 
>>>>mapEditor.mapEditorEdit.status.running 的更新记录：Running  ---> Running 
>>>>mapEditor.mapEditorEdit.status.online 的更新记录：Online  ---> Online 
>>>>mapEditor.mapEditorEdit.status.ex 的更新记录：Error  ---> Error 
>>>>mapEditor.mapEditorEdit.callNo 的更新记录：Service Called No  ---> Service Called No 
>>>>mapEditor.mapEditorEdit.updatedAt 的更新记录：Update Date  ---> Update Date 
>>>>mapEditor.mapEditorEdit.upload 的更新记录：Upload File  ---> Upload File 
>>>>mapEditor.mapEditorEdit.table 的更新记录：Table  ---> Table 
>>>>mapEditor.mapEditorEdit.val 的更新记录：Value  ---> Value 
>>>>mapEditor.mapEditorEdit.return 的更新记录：Return  ---> Return 
>>>>mapEditor.mapEditorEdit.submit 的更新记录：Submit  ---> Submit 
>>>>mapEditor.mapEditorEdit.submit.scs 的更新记录：Submitted Successfully  ---> Submitted Successfully 
