更新国际化文件地址: E:\Quicktcon\evo-amr\evo-rcs-web-dev\2.8.2\server-plugins\server-rcs-peripheral-plugin\config\locale\en-US.js: 
>>>>menu.device 的更新记录：Device Management  ---> Device Management 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.communicationType 的更新记录：Maximum length cannot exceed 20 digits  ---> Maximum length cannot exceed 20 digits 
>>>>rcsPeripheral.interactiveDeviceView.rules.max.message.ip 的更新记录：Maximum length cannot exceed 100 digits  ---> Maximum length cannot exceed 100 digits 
>>>>rcsPeripheral.interactiveDeviceView.return 的更新记录：Return  ---> Return 
>>>>rcsPeripheral.interactiveDeviceView.submit 的更新记录：Next step  ---> Next 
>>>>rcsPeripheral.interactiveDeviceView.floorSet 的更新记录：Floor setting  ---> Floor Setting 
>>>>rcsPeripheral.interactiveDeviceView.deviceJumpSetting 的更新记录：Device jump setting  ---> Device Jump Setting 
>>>>rcsPeripheral.interactiveDeviceView.floor 的更新记录：Floor  ---> Floor 
>>>>rcsPeripheral.interactiveDeviceView.floorDescription 的更新记录：Floor description  ---> Floor Description 
>>>>rcsPeripheral.interactiveDeviceView.upToTheReservoir 的更新记录：Up to the reservoir  ---> Up To The Reservoir 
>>>>rcsPeripheral.interactiveDeviceView.exit 的更新记录：Exit  ---> Exit 
>>>>rcsPeripheral.interactiveDeviceView.entrance 的更新记录：Entrance  ---> Entrance 
>>>>rcsPeripheral.interactiveDeviceView.entryInteractionLocation 的更新记录：Entry interaction location  ---> Entry Interaction Location 
>>>>rcsPeripheral.interactiveDeviceView.exitInteractionLocation 的更新记录：Exit interaction location  ---> Exit Interaction Location 
>>>>rcsPeripheral.interactiveDeviceView.equipmentLocation 的更新记录：Equipment location  ---> Equipment Location 
>>>>rcsPeripheral.interactiveDeviceView.state 的更新记录：Status  ---> Status 
>>>>rcsPeripheral.interactiveDeviceView.initialLayer 的更新记录：Initial layer  ---> Initial Layer 
>>>>rcsPeripheral.interactiveDeviceView.targetLayer 的更新记录：Target layer  ---> Target Layer 
>>>>rcsPeripheral.interactiveDeviceView.initialLocation 的更新记录：Initial location  ---> Initial Location 
>>>>rcsPeripheral.interactiveDeviceView.targetLocation 的更新记录：Target location  ---> Target Location 
>>>>rcsPeripheral.interactiveDeviceView.interfaceType 的更新记录：Interface type  ---> Interface Type 
>>>>rcsPeripheral.interactiveDeviceView.startingPoint 的更新记录：Starting point interaction instruction set  ---> Start Interactive Instruction Set 
